Data,Entrada,Função,Fundamento,Investimento,Odd,Ganho,Resultado
2022-07-01,"Minor ab. 4,5K",Pitcher,Strikeout,10,2.25,12.5,Green
2022-07-01,"Harris ac. 0,5 bases",Rebatedor,Bases,10,1.52,5.199999999999999,Red
2022-07-01,Mets,Vencedor,Partida,10,1.58,5.800000000000001,Green
2022-07-01,Braves e Brewers,Vencedor,Partida,10,2.03,10.299999999999997,Green
2022-07-02,NYY 2x,Vencedor,Partida,10,2.03,10.299999999999997,Green
2022-07-02,"McClanahan ac. 6,5K",Pitcher,Strikeout,10,1.57,5.700000000000001,Green
2022-07-02,"Webb ac 4,5K",Pitcher,Strikeout,10,1.8,8.0,Green
2022-07-02,"Winchowski ac. 14,5 outs",Pitcher,Outs,10,1.52,5.199999999999999,Green
2022-07-03,Astros/Royals,Vencedor,Partida,10,1.65,6.5,Green
2022-07-03,Reds,Vencedor,Partida,10,2.35,13.5,Green
2022-07-03,"Keshaw ab. 5,5K",Pitcher,Strikeout,10,1.9,9.0,Red
2022-07-03,"Giolito ac. 4,5 hits",Pitcher,Hits,10,1.86,8.600000000000001,Red
2022-07-04,Manoah W,Pitcher,Vitoria,10,1.83,8.3,Red
2022-07-04,"Red Sox -3,5",Handicap,Ao vivo,10,1.68,6.800000000000001,Green
2022-07-04,Brewers,Vencedor,Partida,10,1.86,8.600000000000001,Green
2022-07-04,"Cards x Braves ab. 9,5 runs",Total,Partida,10,1.68,6.800000000000001,Green
2022-07-05,"Quintana ac. 3,5K",Pitcher,Strikeout,10,1.62,6.200000000000003,Green
2022-07-05,"Pivetta ac. 1,5 walk",Pitcher,Walk,10,1.71,7.100000000000001,Green
2022-07-05,"Stassi ab. 0,5 hit",Rebatedor,Hits,10,1.86,8.600000000000001,Green
2022-07-06,Guardians,Vencedor,Partida,10,1.6,6.0,Red
2022-07-06,Brewers 5inn,Vencedor,5 entradas,10,1.62,6.200000000000003,Green
2022-07-06,Blue Jays,Vencedor,Partida,10,1.47,4.699999999999999,Green
2022-07-06,"Javier ac. 17,5 outs",Pitcher,Outs,10,1.62,6.200000000000003,Red
2022-07-06,Nola W,Pitcher,Vitoria,10,1.83,8.3,Red
2022-07-07,"Minor ac. 16,5 outs",Pitcher,Outs,10,1.83,8.3,Green
2022-07-07,"Adon ac. 4,5 hits",Pitcher,Hits,10,1.62,6.200000000000003,Green
2022-07-07,"Castano ac. 1,5 walks",Pitcher,Walk,10,1.82,8.2,Red
2022-07-07,Yankees,Vencedor,Partida,10,1.6,6.0,Green
2022-07-07,Braves 5Inn,Vencedor,5 entradas,10,1.62,6.200000000000003,Red
2022-07-07,White Sox 5Inn,Vencedor,5 entradas,10,1.6,6.0,Red
2022-07-07,"Kuechel ac. 1,5 walks",Pitcher,Walk,10,1.52,5.199999999999999,Red
2022-07-07,"Padres x Giants ab. 0,5 run 1Inn",Total,1 entrada,10,1.64,6.399999999999999,Green
2022-07-07,Dodgers,Vencedor,Partida,10,1.58,5.800000000000001,Green
2022-07-07,"Gonzales ac. 17,5 outs",Pitcher,Outs,10,1.62,6.200000000000003,Green
2022-07-08,"Lux ac. 0,5 hits",Rebatedor,Hits,10,1.62,6.200000000000003,Green
2022-07-08,"Singer ac. 3,5K",Pitcher,Strikeout,10,1.66,6.599999999999998,Green
2022-07-08,"Kuhl ac. 14,5 outs",Pitcher,Outs,10,1.66,6.599999999999998,Green
2022-07-08,"Skubal ab. 5,5K",Pitcher,Strikeout,10,1.71,7.100000000000001,Red
2022-07-08,"Wells ab. 2,5 runs",Pitcher,Runs  ,10,1.76,7.600000000000001,Red
2022-07-08,"Lopez ac. 4,5K",Pitcher,Strikeout,10,1.66,6.599999999999998,Green
2022-07-08,"Gray ab. 1,5 walk",Pitcher,Walk,10,1.71,7.100000000000001,Red
2022-07-08,Red Sox vs Yankees 3 runs ambos,Total,Partida,10,1.57,5.700000000000001,Green
2022-07-08,"Phillies ac. 3,5 runs",Total,Partida,10,1.64,6.399999999999999,Red
2022-07-08,"Brubaker ac. 4,5K",Pitcher,Strikeout,10,1.83,8.3,Green
2022-07-08,"Belt ab. 0,5 runs",Rebatedor,Runs,10,1.45,4.5,Red
2022-07-08,Rays,Vencedor,Partida,10,1.57,5.700000000000001,Red
2022-07-08,"Espinal ac. 0,5 hits",Rebatedor,Hits,10,1.55,5.5,Green
2022-07-08,"Braves x Nats ab. 1,5 runs",Total,1 entrada,10,1.43,4.299999999999999,Green
2022-07-09,"Cueto ac. 0,5 walks",Pitcher,Walk,10,1.4,4.0,Red
2022-07-09,"Phillies x Cardinals ac. 2,5 run 3inn",Total,3 entradas,10,1.83,8.3,Red
2022-07-09,"Perez ac. 17,5 outs",Pitcher,Outs,10,1.62,6.200000000000003,Green
2022-07-09,"Walsh ab. 0,5 runs",Rebatedor,Runs,10,1.5,5.0,Green
2022-07-09,"As ab. 3,5 runs",Total,Partida,10,1.44,4.399999999999999,Green
2022-07-09,"Guardians ab. 5,5 runs",Total,Partida,10,1.55,5.5,Red
2022-07-09,"Bumgarner ab. 4,5K",Pitcher,Strikeout,10,1.76,7.600000000000001,Red
2022-07-09,Mets,Vencedor,Partida,10,1.57,5.700000000000001,Green
2022-07-09,"Hayes ac. 0,5 hits",Rebatedor,Hits,10,1.52,5.199999999999999,Red
2022-07-09,Rays,Vencedor,Partida,10,1.66,6.599999999999998,Red
2022-07-09,"Wright ab. 5,5 hits",Pitcher,Hits,10,1.66,6.599999999999998,Red
2022-07-09,"Rondon ac. 4,5 hits",Pitcher,Hits,10,1.8,8.0,Red
2022-07-09,"Kershaw ac. 17,5 outs",Pitcher,Outs,10,1.9,9.0,Green
2022-07-09,"Blue Jays x Mariners ab. 0,5 runs 1inn",Total,1 entrada,10,1.76,7.600000000000001,Green
2022-07-09,Yankees,Vencedor,Partida,10,1.62,6.200000000000003,Red
2022-07-10,Angels,Vencedor,Partida,10,1.9,9.0,Red
2022-07-10,Rays,Vencedor,Partida,10,1.7,7.0,Red
