Data,Liga,Entrada,Fundamento,Investimento,Odd ,Ganho,Resultado
2022-07-01,WNBA,"Storm -5,5 e Indiana ab. 80,5 pts",Handicap,10,1.44,4.399999999999999,Green
2022-07-01,WNBA,LV Aces,Vencedor,10,1.57,5.700000000000001,Green
2022-07-01,WNBA,"Wilson ac. 9,5 reb",Rebotes,10,1.85,8.5,Green
2022-07-01,Internacional,Canadá -7,Handicap,10,1.83,8.3,Green
2022-07-02,WNBA,"Mercury ab. 83,5 pts",Total ,10,1.5,5.0,Green
2022-07-02,WNBA,"Sky ab. 89,5 pts",Total ,10,1.8,8.0,Red
2022-07-02,WNBA,Sky 3ºqt,Total,10,1.52,5.199999999999999,Green
2022-07-03,WNBA,"Mystics -8,5",Handicap,10,2.15,11.5,Red
2022-07-03,WNBA,Storm 3Q,Total ,10,1.57,5.700000000000001,Red
2022-07-03,Internacional,"Brasil -5,5",Handicap,10,1.76,7.600000000000001,Red
2022-07-03,Internacional,Brasil 1T,Vencedor,10,2.2,12.0,Red
2022-07-03,Internacional,"Argentina -9,5",Handicap,10,1.68,6.800000000000001,Green
2022-07-03,Internacional,Argentina 2T,Vencedor,10,1.47,4.699999999999999,Green
2022-07-04,WNBA,"Nneka ab. 7,5 reb",Rebotes,10,1.71,7.100000000000001,Red
2022-07-04,WNBA,"Canada ab. 5,5 ast",Assistências,10,1.86,8.600000000000001,Green
2022-07-04,WNBA,"Taurasi ab. 15,5 pts",Pontos,10,1.86,8.600000000000001,Green
2022-07-05,WNBA,"Storm -3,5",Handicap,10,1.5,5.0,Green
2022-07-05,WNBA,"Sun -2,5",Handicap,10,1.57,5.700000000000001,Red
2022-07-06,WNBA,"Vandersloot ab. 6,5 ast",Assistências,10,1.76,7.600000000000001,Green
2022-07-06,WNBA,Aces -2.5 1T,Handicap,10,1.4,4.0,Green
2022-07-06,WNBA,Mystics,Vencedor,10,1.45,4.5,Green
2022-07-07,Internacional,"Espanha -6,5",Handicap,10,1.76,7.600000000000001,Red
2022-07-07,WNBA,"Ind ab. 80,5 pts",Total,10,1.71,7.100000000000001,Red
2022-07-09,Internacional,"Brasil sub 23 +7,5",Handicap,10,1.83,8.3,Green
2022-07-11,NBA SL,OKC,Vencedor,10,1.58,5.800000000000001,Green
2022-07-11,Internacional,"Australia -6,5",Handicap,10,1.62,6.200000000000003,Green
2022-07-12,WNBA,"Chicago -6,5",Handicap,10,1.55,5.5,Green
2022-07-12,WNBA,Lynx,Vencedor,10,1.43,4.299999999999999,Green
2022-07-13,Internacional,"Japao -7,5",Handicap,10,1.71,7.100000000000001,Green
2022-07-13,WNBA,"Sun -6,5",Handicap,10,1.52,5.199999999999999,Green
2022-07-14,WNBA,"Wings x Lynx ab. 169,5 pts",Total,10,1.57,5.700000000000001,Red
2022-07-14,WNBA,"Vandersloot ac. 5,5 ast",Assistências,10,1.62,6.200000000000003,Red
2022-07-14,WNBA,"Taurasi ab. 16,5 pts",Pontos,10,1.83,8.3,Red
2022-07-15,Internacional,Nova Zelandia,Vencedor,10,1.8,8.0,Red
2022-07-15,Internacional,Hungria sub 20 1T,Vencedor,10,1.76,7.600000000000001,Green
2022-07-15,Internacional,Romenia sub 20 1T,Vencedor,10,1.71,7.100000000000001,Red
2022-07-15,WNBA,"Parker ab. 6,5 reb",Rebotes,10,1.68,6.800000000000001,Green
2022-07-15,WNBA,"Booner ac. 2,5 ast",Assistências,10,1.71,7.100000000000001,Red
2022-07-15,WNBA,"Mitchel ac. 3,5 ast",Assistências,10,1.71,7.100000000000001,Green
2022-07-16,Internacional,"China ac. 79,5",Total,10,1.55,5.5,Green
2022-07-18,Nacional,Araraquara Fem,Vencedor,10,1.31,3.1000000000000014,Red
2022-07-19,WNBA,Sun,Vencedor,10,1.41,4.1,Green
2022-07-19,WNBA,"Aces ac. 87,5 pts",Total,10,1.52,5.199999999999999,Red
2022-07-19,WNBA,"Sparks -2,5 1T",Handicap,10,1.4,4.0,Red
2022-07-20,Internacional,China   ,Vencedor,10,1.57,5.700000000000001,Red
2022-07-20,WNBA,"Sky x Storm ac. 153,5 pts",Total,10,1.45,4.5,Red
2022-07-20,WNBA,"Storm +10,5",Handicap,10,1.51,5.1,Green
