date,home_team,away_team,home_outcome,avg_odd_home_win,avg_odd_draw,avg_odd_away_win,home_ranking,away_ranking,last_home_result,last_away_result
08/08/2015,2,1,0,7.024,3.303,3.748,20,17,0,0
08/08/2015,6,22,1,6.697,4.338,8.967,1,8,0,0
08/08/2015,8,24,1,6.842,3.514,4.852,11,19,0,0
08/08/2015,12,21,2,7.0,3.207,3.742,14,16,0,0
08/08/2015,15,23,2,6.477,3.651,5.318,4,5,0,0
08/08/2015,18,7,0,7.427,3.16,2.894,19,10,0,0
09/08/2015,17,19,1,7.63,3.198,2.689,15,7,0,0
09/08/2015,20,13,0,8.011,3.356,2.416,9,6,0,0
10/08/2015,25,14,0,9.263,4.136,2.105,13,2,0,0
14/08/2015,1,15,0,9.343,3.966,2.142,17,4,1,-1
15/08/2015,19,8,0,7.024,3.278,3.9,7,11,1,0
15/08/2015,21,18,0,7.358,3.148,3.019,16,19,-1,-1
15/08/2015,22,17,2,6.983,3.335,3.912,8,15,0,1
15/08/2015,23,20,1,6.887,3.446,4.498,5,9,-1,0
15/08/2015,24,25,1,7.246,3.199,3.175,18,13,1,-1
15/08/2015,26,12,0,7.202,3.257,3.229,12,14,1,-1
16/08/2015,7,0,0,9.465,3.953,2.11,10,3,0,-1
16/08/2015,14,6,2,6.869,3.268,3.537,2,1,1,-1
17/08/2015,13,2,2,6.526,4.224,7.071,6,19,1,1
22/08/2015,7,1,2,6.468,3.337,4.237,10,17,-1,0
22/08/2015,12,23,1,7.084,3.31,2.698,14,5,0,1
22/08/2015,15,17,1,6.034,4.607,8.468,4,15,1,0
22/08/2015,18,20,1,6.818,3.172,3.135,19,9,0,-1
22/08/2015,21,22,1,7.818,3.4,2.294,16,8,-1,0
22/08/2015,26,2,0,6.835,3.231,3.086,12,19,1,0
23/08/2015,8,14,0,8.504,3.983,2.075,11,2,1,0
23/08/2015,24,19,1,7.116,3.206,2.709,19,7,0,0
23/08/2015,25,6,0,9.549,4.079,2.131,13,1,-1,0
24/08/2015,0,13,1,6.081,3.567,4.6,3,6,1,-1
29/08/2015,1,21,1,6.406,3.278,4.167,17,16,0,-1
29/08/2015,2,12,1,6.602,3.283,3.277,18,14,1,1
29/08/2015,6,7,0,6.144,4.511,8.827,1,10,0,0
29/08/2015,13,26,0,6.181,4.603,8.137,6,12,1,1
29/08/2015,17,0,0,9.335,4.236,2.087,15,3,1,0
29/08/2015,20,25,0,6.413,3.225,3.992,9,13,-1,-1
29/08/2015,23,8,1,6.452,3.32,3.787,5,11,-1,-1
30/08/2015,19,18,2,6.477,3.282,3.666,7,19,0,1
30/08/2015,22,15,2,7.557,3.318,2.37,8,4,-1,-1
12/09/2015,7,14,0,8.754,4.226,2.076,10,2,0,0
12/09/2015,8,6,2,7.629,3.516,2.227,11,1,-1,0
12/09/2015,15,13,2,6.077,3.248,4.084,4,6,-1,-1
12/09/2015,18,2,2,6.289,3.248,3.003,18,18,-1,1
12/09/2015,24,22,2,6.536,3.187,2.757,19,8,0,-1
12/09/2015,25,19,1,6.796,3.186,2.56,13,7,1,0
