Data,Piloto,Tipo,Investimento,Odd,Ganho,Resultado
2022-07-03,Hamilton Grupo 2,Grupo,10,1.61,6.100000000000001,Green
2022-07-03,Bottas vs Zhou,Comparação,10,1.57,5.700000000000001,Green
2022-07-03,Ocon top 10,Top,10,2.37,13.700000000000003,Red
2022-07-03,Gasly grupo 4,Grupo,10,2.75,17.5,Red
2022-07-03,Hamilton Grupo 2,Grupo,10,1.61,6.100000000000001,Green
2022-07-03,Bottas vs Zhou,Comparação,10,1.57,5.700000000000001,Green
2022-07-03,Ocon top 10,Top,10,2.37,13.700000000000003,Red
2022-07-03,Gasly grupo 4,Grupo,10,2.75,17.5,Red
2022-07-09,Verstappen,Vencedor,10,1.44,4.399999999999999,Green
2022-07-09,Magnussen/Russell,Combinada,10,1.7,7.0,Green
2022-07-10,Alpine obter pontos,Pontuação,10,3.75,27.5,Green
2022-07-10,Verstappen,Vencedor,10,1.5,5.0,Red
2022-07-10,Ocon top 6,Top,10,1.61,6.100000000000001,Green
2022-07-10,Mercedes top 6,Top,10,1.66,6.599999999999998,Green
2022-07-10,Magnussem/Bottas,Combinada,10,2.09,10.899999999999999,Red
2022-07-24,Verstappen,Vencedor,10,1.9,9.0,Green
2022-07-24,Perez top 3,Top,10,1.57,5.700000000000001,Red
2022-07-24,Russell vencer grupo 2,Grupo,10,1.9,9.0,Green
2022-07-24,Tsunoda vs Gasly,Comparação,10,1.53,5.300000000000001,Red
2022-07-24,Alpine Ambos carros top 10,Top,10,2.37,13.700000000000003,Green
2022-07-24,Ocon vencer grupo 3,Grupo,10,3.5,25.0,Green
2022-07-30,Alpine ambos carros pontuar,Pontuação,10,1.66,6.599999999999998,Green
2022-07-30,Leclerc vencer,Vencedor,10,2.5,15.0,Red
2022-07-30,Leclerc liderar depois de 10 voltas,Liderança,10,4.0,30.0,Red
2022-07-30,McLaren ambos carros pontuarem,Pontuação,10,1.66,6.599999999999998,Red
2022-07-30,Alpine vs McLaren,Comparação,10,1.83,8.3,Red
2022-07-30,Stroll vs Vettel,Comparação,10,1.72,7.199999999999999,Red
2022-08-28,Alpine Top 10,Top 10,10,2.62,16.200000000000003,Green
2022-08-28,Ferrari Top 10,Top 10,10,1.4,4.0,Green
2022-08-28,Hamilton Grupo 2,Vencer Grupo,10,1.53,5.300000000000001,Red
2022-08-28,Albon Grupo 4,Vencer Grupo,10,1.61,6.100000000000001,Green
2022-08-28,Max vencer,Vencer a Corrida,10,2.2,12.0,Red
2022-09-04,Perez   ,Vencer Grupo,10,2.1,11.0,Red
2022-09-04,Alpine,Ambos marcarem,10,2.25,12.5,Green
2022-09-04,Bottas vs Zhou,Comparação,10,1.66,6.599999999999998,Red
2022-09-04,Haas x AlphaTuri,Comparação,10,1.61,6.100000000000001,Green
2022-09-04,Verstappen,Vencedor,10,1.5,5.0,Green
2022-09-11,Alpine ,Ambos marcarem,10,1.57,5.700000000000001,Red
2022-09-11,Vries x Latifi,Comparação,10,1.53,5.300000000000001,Green
2022-09-11,Ocon ,Vencer grupo,10,3.0,20.0,Red
2022-09-11,Leclerc,Vencedor,10,2.2,12.0,Red
2022-09-11,Alonso,Top 5,10,2.5,15.0,Red
2022-10-02,Leclerc,Vencedor,10,2.5,15.0,Red
2022-10-02,Alonso ,Grupo,10,1.83,8.3,Red
2022-10-02,Hamilton   ,Pódio,10,1.61,6.100000000000001,Red
2022-10-02,Mercedes   ,Ambos pontuarem,10,1.61,6.100000000000001,Red
2022-10-02,Gasly   ,Grupo,10,1.8,8.0,Red
2022-10-09,Verstappen,Vencedor,10,1.44,4.399999999999999,Green
2022-10-09,Hamilton,Grupo,10,1.8,8.0,Red
2022-10-09,Haas x Williams,Comparação,10,1.61,6.100000000000001,Red
2022-10-09,Martin x Romeo,Comparação,10,1.53,5.300000000000001,Green
2022-10-09,Hamilton x Russell,Vencedor,10,1.57,5.700000000000001,Green
2022-10-09,Ocon Top 6,Top,10,2.5,15.0,Green
2022-10-09,Tsunoda vs Gasly,Comparação,10,1.83,8.3,Green
